edge_id,source_node,source_label,target_node,target_label,source_type,target_type,connection_type,semantic_family,semantic_meaning,direction,historical_band,confidence,evidence_source_ids,legendary,underlying_record_id,evidence,evidence_authorization,audit_status
E-0001,P-0007,Heo Hwang-ok,P-0008,Suro of Geumgwan Gaya,PEOPLE,PEOPLE,LEGENDARY,LEGENDARY_RELATIONSHIP,Explicit legendary FAMILY relationship between P-0007 and P-0008; retained and excluded from default statistics.,UNDIRECTED,B1,SPECULATIVE,,1,R-0001,Garakguk-gi marriage legend,person_person R-0001: FAMILY — Garakguk-gi marriage legend,SUPPORTED
E-0002,P-0011,Gyeomik,P-0012,Baedalta,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B1,MEDIUM,,0,R-0002,Gyeomik's return voyage with Baedalta (531),person_person R-0002: MET_IN_PERSON — Gyeomik's return voyage with Baedalta (531),SUPPORTED
E-0003,P-0023,Dhyānabhadra,P-0024,Naong Hyegeun,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B2,MEDIUM,,0,R-0003,KCI scholarship (Ko Young-seop); Jikong's precepts and exhortation,person_person R-0003: TEACHER_STUDENT — KCI scholarship (Ko Young-seop); Jikong's precepts and exhortation,SUPPORTED
E-0004,P-0029,Ch'oe Nam-sŏn,P-0030,Rabindranath Tagore,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B4,HIGH,,0,R-0004,Tokyo 1916 Imperial University lecture meeting,person_person R-0004: MET_IN_PERSON — Tokyo 1916 Imperial University lecture meeting,SUPPORTED
E-0005,P-0030,Rabindranath Tagore,P-0034,Han Yong-un,PEOPLE,PEOPLE,INDIRECT_INFLUENCE,PERSON_RELATIONSHIP,Explicit INFLUENCED person_person relationship; direction is not forced when the frozen row does not support it.,UNCERTAIN,B4,HIGH,,0,R-0009,KCI comparative studies; Han's 1926 essay on Tagore,person_person R-0009: INFLUENCED — KCI comparative studies; Han's 1926 essay on Tagore,SUPPORTED
E-0006,P-0038,Mohandas Karamchand Gandhi,P-0052,Pŏpchŏng,PEOPLE,PEOPLE,INDIRECT_INFLUENCE,PERSON_RELATIONSHIP,Explicit INFLUENCED person_person relationship; direction is not forced when the frozen row does not support it.,UNCERTAIN,B4,MEDIUM,,0,R-0012,Gandhi quote opens Muso-yu; Bulkwang 2024,person_person R-0012: INFLUENCED — Gandhi quote opens Muso-yu; Bulkwang 2024,SUPPORTED
E-0007,P-0052,Pŏpchŏng,P-0071,Vinoba Bhave,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B5,MEDIUM,,0,R-0013,1971 ashram visit; Bulkwang 2024,person_person R-0013: MET_IN_PERSON — 1971 ashram visit; Bulkwang 2024,SUPPORTED
E-0008,P-0023,Dhyānabhadra,P-0074,Muhak Chach'o,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B2,MEDIUM,,0,R-0019,Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26): Muhak received Jikong's teaching in Yuan China; later Naong's disciple,person_person R-0019: TEACHER_STUDENT — Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26): Muhak received Jikong's teaching in Yuan China; later Naong's disciple,SUPPORTED
E-0009,P-0023,Dhyānabhadra,P-0075,Baegun Gyeonghan,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B2,MEDIUM,,0,R-0020,Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26): Baegun received Jikong's inka in Yuan China,person_person R-0020: TEACHER_STUDENT — Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26): Baegun received Jikong's inka in Yuan China,SUPPORTED
E-0010,P-0068,Sŏ Chŏng-ju,P-0076,Sitanshu Yashaschandra,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B5,MEDIUM,,0,R-0021,"Dongguk University newspaper interview article (동대신문, reposted 2010-08-11)","person_person R-0021: MET_IN_PERSON — Dongguk University newspaper interview article (동대신문, reposted 2010-08-11)",SUPPORTED
