person_id,full_name,raw_affiliation,tradition_1,tradition_2,tradition_3,mapping_basis,confidence,provenance,notes
P-0001,Hyecho,Buddhism (Esoteric/Vajrayana; disciple of Vajrabodhi and Amoghavajra),ESOTERIC,,,"Raw: ""Buddhism (Esoteric/Vajrayana; disciple of Vajrabodhi and Amoghavajra)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0002,Woncheuk,Buddhism (East Asian Yogacara/Cittamatra),YOGACARA,,,"Raw: ""Buddhism (East Asian Yogacara/Cittamatra)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0003,Wŏnhyo,Buddhism (Hwaeom/Huayan and broader Mahayana),HWA_EOM,GENERAL_BUDDHISM,,"Raw: ""Buddhism (Hwaeom/Huayan and broader Mahayana)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Multi-affiliation: Hwaeom + broader Mahayana
P-0004,Kyŏnghŭng,Buddhism (specialized in Pure Land/Amitabha commentary),PURE_LAND,,,"Raw: ""Buddhism (specialized in Pure Land/Amitabha commentary)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0005,T'aehyŏn,Buddhism (Yogacara; later revered as founder of Goryeo Yugajong),YOGACARA,,,"Raw: ""Buddhism (Yogacara; later revered as founder of Goryeo Yugajong)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0006,Marananta,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0009,Iryŏn,Buddhism (Seon),SEON_CHAN,,,"Raw: ""Buddhism (Seon)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0010,Hyeil (Silla esoteric monk),Buddhism (Esoteric/Vajrayana); disciple of Amoghavajra (705-774),ESOTERIC,,,"Raw: ""Buddhism (Esoteric/Vajrayana); disciple of Amoghavajra (705-774)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0011,Gyeomik,Buddhism (Vinaya),VINAYA,,,"Raw: ""Buddhism (Vinaya)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0012,Baedalta,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0013,Ariyabalma,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0014,Hyeeop,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0015,Hyŏnt'ae,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0016,Hyŏngak,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0017,Gubon,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
