event_id,title,event_type,start_date,end_date,location_place_id,organizer_institution_ids,description,significance,evidence,confidence,status,source_ids
EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,PILGRIMAGE,2023-02,2023-03,PL-0032,I-0022;I-0023,"108+ monastics of the ROK walking pilgrimage hosted by the Jogye Order with Sangwol Society; route Sarnath -> Shravasti via Bodh Gaya, Vulture Peak/Rajgir, Nalanda, Vaishali, Kushinagar, Lumbini, Kapilavastu; 1,167 km / 43 days (~200-strong delegation reported)",Largest documented Korean monastic walking pilgrimage in India; PIB-documented,PIB press release PRID=1896682; Korea Bizwire 2023-02-10; India Narrative 2023-03-22; The Federal,HIGH,VERIFIED,S-0147;S-0108;S-0080;S-0156
EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),EXHIBITION,2026-04-04,2026-04-04,PL-0024,I-0026,"At the Seoul International Buddhism Expo (Bexpo 2026), IBC Director General Abhijit Halder presented a Buddha statue to Jung Won-ju, president of the Lay Buddhist Association of the Jogye Order; cultural/spiritual cooperation agreed",First documented IBC-Jogye lay exchange in Korea; institutional channel (INSTITUTIONAL),Korea Herald 2026-04-09 (Sanjay Kumar); Our Buddhism World 2026-04-10,HIGH,VERIFIED,S-0109;S-0145
EV-0003,2nd Global Buddhist Summit,CONFERENCE,2026-01-24,2026-01-25,PL-0027,I-0026,"Bharat Mandapam, New Delhi; IBC + Ministry of Culture; theme 'Collective Wisdom, United Voice and Mutual Coexistence'; 30+ countries, 800+ attendees. Korean participation CONFIRMED: Jogye international-exchange committee member / propagation team head Munjong sunim attended as representative of 총무원장 Jinwoo, whose congratulatory message was read aloud",Second edition of India's flagship Buddhist summit; Jogye Order official participation documented,Tongbulgyo News 2026-02-01; Buddhist Door Tea House 2026-01-18; IBC official event PDF; DD News 2026-01-18,HIGH,VERIFIED,S-0158;S-0022;S-0069;S-0029
EV-0004,Jungto Society annual India pilgrimage program,PILGRIMAGE,2027-01-14,2027-01-30,PL-0010,I-0024,"Annual pilgrimage program (35th edition early 2026 implied; 36th: 14-30 Jan 2027, 16N17D, 500 participants, registration from 2026-05-25); Bodh Gaya region",Largest recurring Korean lay pilgrimage to India,Jungto Society official program page,HIGH,VERIFIED,S-0087
EV-0005,Delhi University - BGICBS academic MOU,MOU_AGREEMENT,2026-04-23,2026-04-23,PL-0013,I-0012;I-0014,"Academic exchange agreement between the University of Delhi and the Bodh Gaya International College of Buddhist Studies (BGICBS, Chancellor: Ven. Buddhavara)",Formalizes the main Indian university - Korean-led Buddhist college academic channel,BTN (btn_buddhavara),MEDIUM,VERIFIED,S-0018
EV-0006,Jogye delegation pilgrimage Sarnath -> Bodh Gaya,PILGRIMAGE,2022-05,2022-05,PL-0032,I-0022,"Jogye Order delegation pilgrimage from Sarnath to Bodh Gaya (Mahabodhi), May 2022",Precursor delegation ahead of Bunhwangsa India dedication,Beopbo 2022-05-20,HIGH,VERIFIED,S-0011
EV-0007,Jogye pilgrimage to the 8 great sites + Nepal,PILGRIMAGE,2014-02-19,2014-03-04,PL-0010,I-0022,"13N14D Jogye Order pilgrimage to 8 great Buddhist sites + Nepal, including a visit to Yeoraesunwon (Korean-run temple at Bodh Gaya)",Documents Yeoraesunwon's activity by 2014,Jogye Order official news (jogyesa.kr num=3148),HIGH,VERIFIED,S-0085
EV-0008,Bunhwangsa India groundbreaking,TEMPLE_FOUNDATION,2020-03-28,2020-03-28,PL-0010,I-0015,"Groundbreaking of Bunhwangsa India, the Jogye Order's first temple in India, at Bodh Gaya; completion targeted 2022; project launched 2019-04 by the 36th administration (백만원력결집)",Jogye Order's first permanent temple in India,Ibulgyo 2020-02-06,HIGH,VERIFIED,S-0071
EV-0009,Bunhwangsa India dedication (대웅보전 준공식),TEMPLE_DEDICATION,2022-05,2022-05,PL-0010,I-0015;I-0022,Dedication ceremony of the main hall (대웅보전) of Bunhwangsa India; 150-person Jogye official delegation ('official first pilgrimage' - 공식대표단 첫 순례) led by 총무원장 Wonhaeng; 3 years after the 2019 vow,First official Jogye Order pilgrimage delegation to India; temple completion,Hyunbul News 2022-05-19; Jogye Order news; Korea Times 2022-05-24,HIGH,VERIFIED,S-0065;S-0021;S-0115
EV-0010,Global Buddhist Summit 2023,CONFERENCE,2023-04-20,2023-04-21,PL-0027,I-0026,"First Global Buddhist Summit, Ashok Hotel, New Delhi (IBC + Ministry of Culture); ~30 countries, 500+ Buddhist leaders; PM Modi and Culture Minister Kishan Reddy attended; themes incl. environmental crisis/sustainability and preservation of the Nalanda Buddhist tradition. Korean participation CONFIRMED: Jogye 해외특별교구 교구장 직무대행 Jeongbeom sunim attended as official representative on behalf of 총무원장",First edition of India's flagship Buddhist summit; Jogye Order official participation documented,Hyunbul News 2023-04-27; IBC official event file; Drishti IAS daily news analysis,HIGH,VERIFIED,S-0066;S-0068;S-0033
EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),CONFERENCE,2025-08-22,2025-08-22,PL-0027,I-0026,"Dr Ambedkar International Centre, Delhi; IBC + Ministry of Culture + Ministry of Social Justice & Empowerment; theme 'Wisdom Transmission in Buddha Dhamma in the 21st Century'; 4 panels + National Museum special presentation; key figures: Jangchup Choeden Rinpoche (SG IBC), Rana Pratap Singh (VC Gautam Buddha Univ.), K.T.S. Sarao, Abhijit Halder (DG IBC), Yeshi Dawa. Official IBC report names no Korean participant; PIB attendee list (India, Sri Lanka, Myanmar, Vietnam, Cambodia, Russia, Taiwan) contains no Korea",Young-scholars track of the GBS cycle; Korean participation NOT DOCUMENTED,IBC official event report; PIB PRID=2156138; DD India 2025-08,MEDIUM,UNRESOLVED,S-0070;S-0146;S-0028
EV-0012,KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),PILGRIMAGE,2026-10-03,2026-10-11,PL-0039,I-0027,"8N9D India pilgrimage organized by the Korea Buddhism Promotion Foundation (대한불교진흥원): Dharamsala, Ajanta/Ellora caves, Sanchi Stupa; Air India; fees 4.59M KRW (10+ persons) / 4.09M (15+); registration open from 2026-07-02",Distinct 2026 India pilgrimage by a Korean Buddhist foundation (not Jogye Order); answers the 'distinct 2026 pilgrimage' open question,KBPF official notice 2026-07-02,HIGH,VERIFIED,S-0090
EV-0013,BBS Seon Meditation Tour 4 India-Nepal,PILGRIMAGE,2025-12-26,2026-01-04,PL-0010,I-0028,"8N10D India-Nepal pilgrimage organized by BBS (Buddhist Broadcasting System): Delhi, Lucknow, Varanasi, Bodh Gaya, Rajgir, Vaishali, Kushinagar, Shravasti, Lumbini, Pokhara, Kathmandu; led by 선업 스님 (former Jogye 포교원장); 3.42M KRW",Korean Buddhist broadcaster-organized pilgrimage crossing into 2026; documents the 2026 pilgrimage landscape,BBS overseas pilgrimage program page,HIGH,VERIFIED,S-0010
EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),EXHIBITION,2023-03-21,2023-03-25,PL-0027,I-0022;I-0029,"Co-hosted by the Jogye Order (총무원장 Jinwoo) and the ROK Embassy in India: 21 Mar 2023 temple-food dinner (사찰음식 만찬) at ambassador Jang Jae-bok's residence (chef 정관스님; 어산종장 동환스님's 축원 화청); NGMA exhibition '부처님의 땅! 인도에서 한국문화를 만나다' (22 Mar - 30 Apr: 연등, media art, temple-stay photos); ~40 attendees incl. Apurva Chandra (Indian I&B Secretary) and Korean lawmakers; ambassador praised the Sangwol pilgrimage for strengthening bilateral ties",First Jogye Order-ROK Embassy co-hosted cultural event in India; official diplomatic recognition of the Sangwol pilgrimage's value,Ibulgyo 2023-03-22 (홍다영),HIGH,VERIFIED,S-0074
EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),PILGRIMAGE,1981-12,1982-01,PL-0031,I-0030,"6-member Korean Buddhist delegation dispatched by the International Buddhist Problems Research Institute (국제불교문제연구소) toured India's sacred sites (Dec 1981) and recently returned (reported 1982-01-19); met PM Indira Gandhi for ~30 minutes, presenting a Silla gold-crown replica and a Buddhist bell; visited Nalanda and donated a facsimile of the Haeinsa Tripitaka Koreana as research material for Korean Buddhist studies; in Sri Lanka agreed a sisterhood between Kelaniya Temple and Korea's Bongeunsa",First documented institutional Korean Buddhist delegation to India in the post-war era; audience with the Indian PM; Tripitaka donation at Nalanda,Dong-A Ilbo 1982-01-19 (Naver News Library); corroborated by Hyunbul News 2023-02-27,HIGH,VERIFIED,S-0030;S-0062
EV-0016,Dongguk University - Nalanda University MOU,MOU_AGREEMENT,2023-02-24,2023-02-24,PL-0009,I-0010;I-0031,"Academic cooperation agreement signed at Nalanda University between Dongguk University (president 윤재웅; 건학위원장 돈관 스님) and Nalanda University (Vice-Chancellor Sunaina Singh): joint education and research cooperation, plus a '순례' (pilgrimage) themed international conference and Korea-India 50th-anniversary activities",First MOU between a Korean Buddhist university and the modern Nalanda University; revives the ancient Nalanda-Silla channel as contemporary institutional exchange,Hyunbul News 2023-02-27,HIGH,VERIFIED,S-0062
