person_id,full_name,raw_institution_org,mapped_institution_ids,mapping_status,basis,confidence,provenance,notes
P-0001,Hyecho,Juefu Temple (Chang'an); Dryuan Puti Temple (Mt Wutai),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0002,Woncheuk,"Ximing Monastery (西明寺), Chang'an",,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0003,Wŏnhyo,Hwangnyongsa milieu; Haedongjong lineage,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0004,Kyŏnghŭng,Samrangsa (三郎寺); made Kukro (national elder) by King Sinmun,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0005,T'aehyŏn,"Yongjangsa Temple, Namsan (Gyeongju)",,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0006,Marananta,"First Baekje temple (Hansan, 385 CE)",,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0009,Iryŏn,Inheungsa; Unmunsa; posthumous title Bogak Guksa,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0010,Hyeil (Silla esoteric monk),Tang (Chang'an) milieu; 'Six Disciples of Amoghavajra' orbit,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0011,Gyeomik,"Sangana Great Vinaya Monastery (常伽那大律寺), Central India; Heungnyunsa (Baekje)",,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0012,Baedalta,(travelled with Gyeomik),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0013,Ariyabalma,Nalanda Mahavihara,I-0002,MAPPED,Nalanda Mahavihara,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0014,Hyeeop,Bodhi temple (Bodhgaya); Nalanda,I-0002,PARTIAL,"Nalanda mapped; ""Bodhi temple (Bodhgaya)"" not in institutions.csv",MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0015,Hyŏnt'ae,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0016,Hyŏngak,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0017,Gubon,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0018,Hyeryun,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0020,Ojin,Tang (Chang'an) milieu; studied under Hyegwa (慧果),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0021,Wonpyo,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0022,Hyŏnyu,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0023,Dhyānabhadra,Ordained at Nalanda; founded Hoeamsa (회암사) 1328,I-0002;I-0003,MAPPED,Ordained at Nalanda; founded Hoeamsa 1328,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0024,Naong Hyegeun,Sungsusa; Wangryunsa milieu,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0028,Yi Nŭng-hwa,Hanseong Law-French School (principal); Chosŏn History Compilation Committee; Jungang Buddhist College lecturer,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0029,Ch'oe Nam-sŏn,T'aegŭk kwangmunhoe; Ch'ŏngch'un magazine,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0030,Rabindranath Tagore,Visva-Bharati (Santiniketan),I-0004,MAPPED,Visva-Bharati (Santiniketan),HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0034,Han Yong-un,March 1st Movement signatory (33 national representatives),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0038,Mohandas Karamchand Gandhi,Indian National Congress,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0051,Ko Un,NULL,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0052,Pŏpchŏng,Songgwangsa lineage,I-0020,MAPPED,Songgwangsa lineage,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0053,Lokesh Chandra,International Academy of Indian Culture (Director),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0054,Jung Seung-suk,"Dongguk University (MA 1980, PhD 1991 - Indian philosophy)",I-0010,MAPPED,"Dongguk University (MA 1980, PhD 1991)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0055,U Myeong-ju,Dongguk University Gyeongju (Buddhist studies researcher),I-0010,MAPPED,Dongguk University Gyeongju campus -> I-0010 (note: campus),HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0062,Buddhavara (Ven.),Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,I-0015;I-0014,MAPPED,Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0063,Hyoseok (Ven.),Bongnyeongsa; Seoul Beopryongsa bhikkhuni hall,I-0021,PARTIAL,"Bongnyeongsa mapped; ""Seoul Beopryongsa bhikkhuni hall"" not in institutions.csv",MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
